date,open,high,low,close,volume
2026-04-22,4074.813,4106.844,4074.68,4106.258,58246634600
2026-04-23,4110.788,4114.844,4070.46,4093.25,67116609200
2026-04-24,4081.033,4092.613,4061.145,4079.9,60503179800
2026-04-27,4074.811,4092.831,4071.08,4086.344,58995086700
2026-04-28,4076.143,4090.201,4062.872,4078.637,60050749800
2026-04-29,4061.822,4112.152,4061.822,4107.514,61422145100
2026-04-30,4107.297,4118.755,4100.966,4112.159,65691272800
2026-05-06,4135.451,4166.147,4129.911,4160.174,70117748000
2026-05-07,4168.447,4180.21,4163.137,4180.092,68557424900
2026-05-08,4163.854,4183.063,4154.246,4179.952,69701909400
2026-05-11,4201.347,4229.58,4186.082,4225.021,76273628700
2026-05-12,4229.283,4230.184,4199.344,4214.489,71898400200
2026-05-13,4192.315,4245.068,4192.315,4242.572,70501873900
2026-05-14,4256.157,4258.863,4177.918,4177.918,76423500400
2026-05-15,4174.175,4191.807,4114.086,4135.389,73316235700
2026-05-18,4120.14,4145.661,4108.604,4131.528,62723313700
2026-05-19,4122.961,4170.289,4107.994,4169.538,61761106700
2026-05-20,4152.698,4169.847,4139.974,4162.185,62415203500
2026-05-21,4174.377,4199.527,4074.217,4077.277,72721870100
2026-05-22,4096.172,4120.088,4067.747,4112.9,58945964400
2026-05-25,4126.338,4153.879,4119.8,4152.569,61593086100
2026-05-26,4137.32,4150.289,4104.459,4145.373,65477775600
2026-05-27,4138.805,4153.561,4077.616,4093.727,66046739900
2026-05-28,4080.304,4110.782,4055.828,4098.636,62117995000
2026-05-29,4110.521,4112.955,4055.886,4068.569,73159771000
2026-06-01,4067.158,4093.041,4045.69,4057.74,67602580600
2026-06-02,4061.463,4089.575,4032.583,4075.102,64224465600
2026-06-03,4068.341,4107.046,4059.907,4083.974,66845258300
2026-06-04,4053.67,4080.718,4043.433,4057.781,62119477400
2026-06-05,4044.829,4078.932,4015.063,4027.736,66291857700
2026-06-08,3938.709,4007.493,3927.853,3959.338,65929355500
2026-06-09,3977.539,4010.872,3955.908,4010.031,57657009000
2026-06-10,3985.124,4006.313,3963.442,3993.226,59869473900
2026-06-11,3979.706,3997.478,3958.437,3987.015,56854524400
2026-06-12,4017.865,4060.271,4008.177,4031.513,74313109200
2026-06-15,4053.582,4097.166,4051.065,4096.472,67890781100
2026-06-16,4094.212,4103.926,4077.87,4091.892,61566829600
2026-06-17,4074.291,4109.958,4073.732,4108.076,60807741300
2026-06-18,4094.23,4117.451,4080.294,4090.481,65811606800
2026-06-22,4093.955,4164.418,4070.172,4163.097,74369935500
2026-06-23,4153.593,4175.348,4085.591,4106.252,70900391300
2026-06-24,4090.1,4117.285,4075.492,4110.813,64452751800
2026-06-25,4103.482,4133.098,4093.009,4120.281,67045991700
2026-06-26,4098.686,4099.78,4007.859,4027.265,66010866600
2026-06-29,4026.686,4075.334,3992.552,4073.902,65919993600
2026-06-30,4058.17,4097.415,4052.17,4094.397,59841220300
2026-07-01,4090.76,4143.314,4087.535,4112.445,67233179100
2026-07-02,4054.086,4093.678,4019.215,4028.904,65623361200
2026-07-03,4031.335,4073.88,4027.255,4043.643,60200973800
2026-07-06,4059.194,4060.069,4005.414,4041.238,59036490300
2026-07-07,4019.494,4028.514,3971.713,3990.235,51445309100
2026-07-08,3996.807,4016.026,3967.913,3970.88,49622937400
2026-07-09,3977.547,4040.539,3938.878,4036.588,55306398000
2026-07-10,4031.537,4074.828,3995.807,3996.162,62745006500
2026-07-13,3966.023,3983.054,3900.668,3913.794,59090735600
2026-07-14,3909.274,3967.126,3869.304,3967.126,57998205200
2026-07-15,3963.727,3981.672,3943.695,3955.578,57620949200
2026-07-16,3912.381,3940.451,3867.601,3882.413,53528187300
2026-07-17,3865.317,3869.215,3745.174,3764.155,65045098400
2026-07-20,3791.662,3831.659,3741.11,3796.281,70923406900
2026-07-21,3800.123,3850.456,3790.789,3840.111,60000000000
